Text;Size
völlig;4
gretes;4
geben;4
breit;4
halb;3
licht;3
glitt;3
holte;3
bemerkte;3
dreiviertel;3
versäumnis;3
flog;3
umdrehte;3
guten;3
bereit;3
gefallen;3
reden;3
kannte;3
übrigen;3
setzte;3
legte;3
bemerken;3
drehte;3
wunde;3
anstrengung;3
los;3
fußspitzen;3
besseren;3
angestellten;3
wollt;3
worten;3
unbedingt;3
drängte;3
bekommen;3
dir;3
jemand;3
veränderung;3
»das;3
verdienen;3
beine;3
ungestört;3
blieben;3
alter;3
meist;3
irgendeiner;3
geschlossen;3
monat;3
brot;3
versäumen;3
dürfen;3
eigentlichen;3
schüssel;3
mann;3
zufällig;3
project;3
arbeiten;3
ihres;3
entschlossen;3
dabei;3
lauter;3
irgendwie;3
gelegenheit;3
erschienen;3
vergnügen;3
geringste;3
ringsherum;3
verstummte;3
eiligst;3
glauben;3
geschäftlichen;3
versuchte;3
weile;3
möglich;3
jahr;3
speisen;3
zeiten;3
frisch;3
dulden;3
peinlich;3
täglich;3
spiel;3
gespräch;3
käse;3
nie;3
gewalt;3
antwortete;3
gelang;3
»er;3
geschäfte;3
müsse;3
zähne;3
brachte;3
knapp;3
heran;3
schrie;3
at;3
franz;3
aß;3
röcke;3
it;3
fürchtete;3
anhören;3
verbrachte;3
»also;3
merken;3
unbeweglich;3
jahre;3
womit;3
gedacht;3
öffnete;3
this;3
solchen;3
entfernt;3
achtete;3
litt;3
versperrt;3
gezwungen;3
wagte;3
menschlichen;3
lage;3
kafka;3
angezogen;3
stock;3
wohnzimmertür;3
sprechen;3
diesmal;3
weilchen;3
außerhalb;3
güte;3
äußerst;3
last;3
ende;3
vorwürfe;3
brust;3
laut;3
wohin;3
abenden;3
erste;3
hoch;3
fußboden;3
gelassen;3
kroch;3
mein;3
anderes;3
wohnungstür;3
ernsthaft;3
flüsterte;3
verletzt;3
klopfte;3
kanapees;3
eigenen;3
besserung;3
schweren;3
hervor;3
erhalten;3
jede;3
geschehe;3
treppe;3
trauer;3
»komm;3
uniform;3
froh;3
inzwischen;3
posten;3
schuld;3
tische;3
wegfahren;3
stunden;3
leistungen;3
richtung;3
erhobener;3
stille;3
beschäftigt;3
bitte;3
aufstehen;3
rechte;3
rechts;3
aufzurichten;3
übung;3
geht;3
festhielt;3
fertig;3
alte;3
reisen;3
daher;3
freundlich;3
platz;3
heute;3
sinn;3
willen;3
reise;3
faust;3
bauch;3
half;2
unsicher;2
klebte;2
lebens;2
wollten;2
befriedigung;2
vermeiden;2
halt;2
unwohlsein;2
geläutet;2
krankenhaus;2
·;2
geldverdienens;2
hart;2
gefüllt;2
angelegenheiten;2
bettes;2
traurig;2
neuen;2
teils;2
tränen;2
möbeln;2
plafond;2
eile;2
mensch;2
laune;2
mittlere;2
rettung;2
dafür;2
gutes;2
dienste;2
erinnerung;2
erde;2
zitternd;2
hilflos;2
frühere;2
verlangte;2
gottes;2
seitdem;2
reinigen;2
beendet;2
mochte;2
beste;2
erfuhr;2
aufgerissen;2
auffallend;2
aufregung;2
zuversicht;2
***;2
aufräumen;2
drehen;2
treppenhaus;2
rahmen;2
kastens;2
daraus;2
weggeschickt;2
krankenkassenarzt;2
einzigen;2
führenden;2
schicken;2
durchaus;2
dar;2
leisten;2
minuten;2
verlangen;2
graue;2
stadt;2
betreffenden;2
aussehen;2
besprechung;2
schliefen;2
mach;2
gegenüberliegenden;2
aufgabe;2
untergebracht;2
darum;2
mal;2
gleichmäßig;2
wunder;2
werfen;2
diener;2
»schon;2
use;2
armen;2
festzustellen;2
winkel;2
staunte;2
»und;2
wohltat;2
wecken;2
geräusch;2
wecker;2
übrig;2
befand;2
eilig;2
gefaßt;2
einzuholen;2
verfolgung;2
länger;2
voraussicht;2
fühlen;2
türspalte;2
verhältnismäßig;2
denkt;2
gewöhnung;2
schlag;2
lauten;2
angefangen;2
bisher;2
angebracht;2
verschaffen;2
einzige;2
kümmern;2
mehrmals;2
sprach;2
schluchzen;2
rühren;2
bestimmt;2
wange;2
jenem;2
gibt;2
jener;2
dastand;2
früh;2
familienmitglieder;2
gewählt;2
erschöpft;2
keinem;2
komme;2
lächeln;2
reinigung;2
besonderen;2
besonderem;2
eingetreten;2
schritt;2
überblick;2
aufzuhalten;2
erstenmal;2
kollektion;2
gemeinsamen;2
nahmen;2
neu;2
gedrückt;2
gelegen;2
fleisch;2
beispiel;2
schlafrock;2
geländer;2
schieben;2
lehrjungen;2
unnötige;2
dunkel;2
»du;2
vollständiger;2
tragen;2
vernünftigen;2
schlechte;2
hälfte;2
stören;2
tiefer;2
zinsen;2
füße;2
nachzusehen;2
weiterhin;2
tagen;2
geschäftes;2
sicherheit;2
ertragen;2
anfangs;2
butter;2
suchen;2
kleines;2
gewölbten;2
sauce;2
mangel;2
verschiedensten;2
wasser;2
gebeten;2
by;2
zweifellos;2
kurzem;2
weinen;2
außer;2
außen;2
sowohl;2
»nun;2
entschlüsse;2
sicher;2
andererseits;2
raum;2
einander;2
entlassen;2
auffallende;2
unerträglich;2
wut;2
eigensinn;2
konservatorium;2
goldknöpfen;2
»wie;2
abende;2
allgemeinen;2
www;2
allgemeiner;2
nachdem;2
no;2
reisende;2
starke;2
or;2
schleppte;2
fuß;2
grunde;2
drin;2
genügenden;2
widerwillen;2
jahreszeit;2
zimmerdecke;2
versuchen;2
inmitten;2
gehalten;2
pult;2
zwischenzeit;2
kräfte;2
erheben;2
schüttelte;2
braunen;2
glücklich;2
aufzustehen;2
stück;2
jeder;2
weinte;2
dame;2
gemüse;2
leichter;2
leichten;2
sitzen;2
führte;2
ausgenützt;2
beschmiertes;2
solcher;2
ausgebreitet;2
erschrak;2
festen;2
vergaß;2
will;2
herzlich;2
erinnern;2
schritte;2
starken;2
entfernen;2
eintreten;2
schwang;2
großes;2
großer;2
erinnerte;2
verzichtete;2
geschlafen;2
gebraucht;2
beweglich;2
nächte;2
schmerzen;2
eingepackt;2
benehmen;2
menschlicher;2
verwirren;2
rückwärtsgehen;2
with;2
klatschte;2
arbeiteten;2
dürfe;2
ähnliches;2
überlegen;2
gegeben;2
irgend;2
geduld;2
hereinkommen;2
schlagen;2
aushalten;2
nebenan;2
schwach;2
spannung;2
offenen;2
kommis;2
gänzlichen;2
erhoben;2
erkannte;2
läutete;2
verhinderte;2
gemacht;2
entlassung;2
untere;2
ergriffen;2
zweimal;2
frühen;2
heftig;2
vergebens;2
glas;2
eingestellt;2
rufen;2
schwenken;2
befehl;2
keineswegs;2
weißen;2
bein;2
gleichen;2
stehe;2
reisender;2
reisenden;2
seitentür;2
möglicherweise;2
fremder;2
fremden;2
angewöhnt;2
überzeugt;2
flüchtete;2
türöffnung;2
unangenehm;2
erwähnt;2
zerstreuung;2
herum;2
aufgeräumt;2
zumindest;2
»aber;2
wirtschaft;2
deren;2
traum;2
umgedreht;2
herrn;2
online;2
stimmung;2
schlafen;2
gewissermaßen;2
regen;2
geruch;2
gegenteil;2
vorstellung;2
finger;2
hinaus;2
nachtmahl;2
näher;2
hinauf;2
heben;2
wurden;2
zischen;2
beobachten;2
lagen;2
stockte;2
beherrschen;2
rechten;2
staune;2
erlangten;2
antwort;2
mistkäfer;2
genauen;2
rat;2
