Text;Size;;;Size;;
farne;2;;1102;2;;
rado;2;;1103;2;;
colpe;2;;1104;2;;
colpo;2;;1105;2;;
nessuno;2;;1106;2;;
biasmo;2;;1107;2;;
popolo;2;;1108;2;;
metro;2;;1109;2;;
giva;2;;1110;2;;
volle;2;;1111;2;;
bontade;2;;1112;2;;
sovrano;2;;1113;2;;
borsa;2;;1114;2;;
nvidia;2;;1115;2;;
risposto;2;;1116;2;;
saetta;2;;1117;2;;
ebber;2;;1118;2;;
suol;2;;1119;2;;
fei;2;;1120;2;;
aperse;2;;1121;2;;
stette;2;;1122;2;;
donne;2;;1123;2;;
cotto;2;;1124;2;;
ignudi;2;;1125;2;;
«come;2;;1126;2;;
gridai;2;;1127;2;;
pàrtiti;2;;1128;2;;
superbia;2;;1129;2;;
ntorno;2;;1130;2;;
disfatto;2;;1131;2;;
condizion;2;;1132;2;;
perde;2;;1133;2;;
dicer;2;;1134;2;;
at;2;;1135;2;;
strinse;2;;1136;2;;
rami;2;;1137;2;;
scendemmo;2;;1138;2;;
cener;2;;1139;2;;
sommo;2;;1140;2;;
iasón;2;;1141;2;;
cespuglio;2;;1142;2;;
ragione;2;;1143;2;;
scheggia;2;;1144;2;;
er;2;;1145;2;;
volontieri;2;;1146;2;;
porti»;2;;1147;2;;
fiumicello;2;;1148;2;;
necessità;2;;1149;2;;
tieni;2;;1150;2;;
facean;2;;1151;2;;
rossa;2;;1152;2;;
lusinghe;2;;1153;2;;
caron;2;;1154;2;;
vere;2;;1155;2;;
divino;2;;1156;2;;
ii;2;;1157;2;;
vera;2;;1158;2;;
carne;2;;1159;2;;
iv;2;;1160;2;;
ix;2;;1161;2;;
ode;2;;1162;2;;
riceve;2;;1163;2;;
odo;2;;1164;2;;
giudicio;2;;1165;2;;
piede;2;;1166;2;;
lonza;2;;1167;2;;
salvo;2;;1168;2;;
ogn;2;;1169;2;;
onesto;2;;1170;2;;
compagnia;2;;1171;2;;
dimora;2;;1172;2;;
om;2;;1173;2;;
dito;2;;1174;2;;
degno;2;;1175;2;;
augusto;2;;1176;2;;
favelle;2;;1177;2;;
seco;2;;1178;2;;
dirò;2;;1179;2;;
arpie;2;;1180;2;;
belle;2;;1181;2;;
bello;2;;1182;2;;
cento;2;;1183;2;;
orme;2;;1184;2;;
süo;2;;1185;2;;
ve;2;;1186;2;;
dirotti;2;;1187;2;;
ventre;2;;1188;2;;
ruffian;2;;1189;2;;
portate;2;;1190;2;;
maggiori;2;;1191;2;;
xi;2;;1192;2;;
xv;2;;1193;2;;
xx;2;;1194;2;;
dimostra;2;;1195;2;;
ncendio;2;;1196;2;;
«io;2;;1197;2;;
costà;2;;1198;2;;
graffia;2;;1199;2;;
quant;2;;1200;2;;
segui;2;;1201;2;;
lasciò;2;;1202;2;;
semo;2;;1203;2;;
ragionato;2;;1204;2;;
dottore;2;;1205;2;;
messo;2;;1206;2;;
ponte;2;;1207;2;;
seme;2;;1208;2;;
amico;2;;1209;2;;
assale;2;;1210;2;;
located;2;;1211;2;;
udirai;2;;1212;2;;
altissimo;2;;1213;2;;
lascia;2;;1214;2;;
coro;2;;1215;2;;
dato;2;;1216;2;;
xii;2;;1217;2;;
coste;2;;1218;2;;
xiv;2;;1219;2;;
xix;2;;1220;2;;
mesta;2;;1221;2;;
paese;2;;1222;2;;
altrimenti;2;;1223;2;;
gir;2;;1224;2;;
«là;2;;1225;2;;
«siete;2;;1226;2;;
intendi;2;;1227;2;;
dolorosa;2;;1228;2;;
intelletto;2;;1229;2;;
basta;2;;1230;2;;
sesto;2;;1231;2;;
basti;2;;1232;2;;
discoscesa;2;;1233;2;;
desta;2;;1234;2;;
misero;2;;1235;2;;
lascerò;2;;1236;2;;
torto;2;;1237;2;;
giuro;2;;1238;2;;
saggio;2;;1239;2;;
onrata;2;;1240;2;;
mostrocci;2;;1241;2;;
avrebber;2;;1242;2;;
creature;2;;1243;2;;
groppa;2;;1244;2;;
«sì;2;;1245;2;;
pregai;2;;1246;2;;
cerchi;2;;1247;2;;
vaneggia;2;;1248;2;;
segnato;2;;1249;2;;
with;2;;1250;2;;
disposto;2;;1251;2;;
mento;2;;1252;2;;
pel;2;;1253;2;;
xvi;2;;1254;2;;
groppo;2;;1255;2;;
giugnemmo;2;;1256;2;;
tacere;2;;1257;2;;
pietre;2;;1258;2;;
tronca;2;;1259;2;;
riguardando;2;;1260;2;;
arno;2;;1261;2;;
surge;2;;1262;2;;
distesa;2;;1263;2;;
disiri;2;;1264;2;;
porsi;2;;1265;2;;
conforta;2;;1266;2;;
pastor;2;;1267;2;;
avanzar;2;;1268;2;;
castelli;2;;1269;2;;
castello;2;;1270;2;;
muto;2;;1271;2;;
muta;2;;1272;2;;
ritto;2;;1273;2;;
coloro;2;;1274;2;;
fregi;2;;1275;2;;
vallon;2;;1276;2;;
fiorenza;2;;1277;2;;
fatte;2;;1278;2;;
lato;2;;1279;2;;
offesa;2;;1280;2;;
ruscel;2;;1281;2;;
mutò;2;;1282;2;;
offesi;2;;1283;2;;
ubidir;2;;1284;2;;
pro;2;;1285;2;;
vedere;2;;1286;2;;
secreto;2;;1287;2;;
ardire;2;;1288;2;;
bolle;2;;1289;2;;
spezie;2;;1290;2;;
sciolta;2;;1291;2;;
miran;2;;1292;2;;
bruno;2;;;2;;1293
pesi;2;;;2;;
mondo»;2;;;2;;
giunse;2;;;2;;
temer;2;;;2;;
«figliuol;2;;;2;;
sabbione;2;;;2;;
giunte;2;;;2;;
satàn;2;;;2;;
giunto;2;;;2;;
torse;2;;;2;;
attrista;2;;;2;;
sterpi;2;;;2;;
nepote;2;;;2;;
offizio;2;;;2;;
tace;2;;;2;;
torni;2;;;2;;
sospinse;2;;;2;;
dèi;2;;;2;;
nocchier;2;;;2;;
croce;2;;;2;;
serra;2;;;2;;
notando;2;;;2;;
natio;2;;;2;;
discesi;2;;;2;;
maraviglia;2;;;2;;
mostra;2;;;2;;
xvii;2;;;2;;
mostri;2;;;2;;
tant;2;;;2;;
soli;2;;;2;;
tacendo;2;;;2;;
guardommi;2;;;2;;
ambedue;2;;;2;;
siete;2;;;2;;
tratto;2;;;2;;
bene;2;;;2;;
fangose;2;;;2;;
diece;2;;;2;;
patrïa;2;;;2;;
servo;2;;;2;;
ristette;2;;;2;;
altezza;2;;;2;;
morir;2;;;2;;
foggia;2;;;2;;
flegetonta;2;;;2;;
sospirando;2;;;2;;
faci;2;;;2;;
spira;2;;;2;;
poppa;2;;;2;;
tromba;2;;;2;;
lamenti;2;;;2;;
simil;2;;;2;;
veduto;2;;;2;;
bestie;2;;;2;;
sanno;2;;;2;;
tetro;2;;;2;;
fiato;2;;;2;;
«vedi;2;;;2;;
iii;2;;;2;;
diletto;2;;;2;;
orecchi;2;;;2;;
cadde;2;;;2;;
impera;2;;;2;;
caddi;2;;;2;;
puzzo;2;;;2;;
avean;2;;;2;;
venite;2;;;2;;
roman;2;;;2;;
gittò;2;;;2;;
trovai;2;;;2;;
spada;2;;;2;;
stessi;2;;;2;;
nido;2;;;2;;
pone;2;;;2;;
error;2;;;2;;
pomi;2;;;2;;
orribili;2;;;2;;
orribile;2;;;2;;
fare;2;;;2;;
uomini;2;;;2;;
pronte;2;;;2;;
quanta;2;;;2;;
fonte;2;;;2;;
passa;2;;;2;;
gride;2;;;2;;
soavi;2;;;2;;
soave;2;;;2;;
chiese;2;;;2;;
sazio;2;;;2;;
cinta;2;;;2;;
duce;2;;;2;;
posa;2;;;2;;
sabbion;2;;;2;;
united;2;;;2;;
benigno;2;;;2;;
aggira;2;;;2;;
fresca;2;;;2;;
quante;2;;;2;;
memoria;2;;;2;;
ria;2;;;2;;
intrammo;2;;;2;;
virgilio;2;;;2;;
ritorni;2;;;2;;
punito;2;;;2;;
tormenti;2;;;2;;
venian;2;;;2;;
tormenta;2;;;2;;
xviii;2;;;2;;
lenta;2;;;2;;
achille;2;;;2;;
futuro;2;;;2;;
saria;2;;;2;;
odio;2;;;2;;
saran;2;;;2;;
tace»;2;;;2;;
atto;2;;;2;;
confessa;2;;;2;;
and;2;;;2;;
credendo;2;;;2;;
tolta;2;;;2;;
vittoria;2;;;2;;
tolsi;2;;;2;;
tolse;2;;;2;;
traccia;2;;;2;;
passammo;2;;;2;;
prossimo;2;;;2;;
cacciati;2;;;2;;
parlare;2;;;2;;
strema;2;;;2;;
ciascuno;2;;;2;;
are;2;;;2;;
priega;2;;;2;;
vicino;2;;;2;;
virtute;2;;;2;;
passavam;2;;;2;;
gelo;2;;;2;;
rinier;2;;;2;;
fango;2;;;2;;
guata;2;;;2;;
piano;2;;;2;;
luoghi;2;;;2;;
gent;2;;;2;;
viii;2;;;2;;
rusticucci;2;;;2;;
proprio;2;;;2;;
lettor;2;;;2;;
alpe;2;;;2;;
nata;2;;;2;;
nati;2;;;2;;
demon;2;;;2;;
spregiando;2;;;2;;
naso;2;;;2;;
pensa;2;;;2;;
incontenenza;2;;;2;;
nave;2;;;2;;
luca;2;;;2;;
giudica;2;;;2;;
dottor;2;;;2;;
most;2;;;2;;
ntesi;2;;;2;;
tenebre;2;;;2;;
move;2;;;2;;
morì;2;;;2;;
potea;2;;;2;;
figlio;2;;;2;;
tasca;2;;;2;;
frange;2;;;2;;
viltade;2;;;2;;
nemico;2;;;2;;
parenti;2;;;2;;
parente;2;;;2;;
ser;2;;;2;;
leggemmo;2;;;2;;
intrar;2;;;2;;
viva;2;;;2;;
sentia;2;;;2;;
lucia;2;;;2;;
molta;2;;;2;;
setta;2;;;2;;
luna;2;;;2;;
cieco;2;;;2;;
lume;2;;;2;;
feltro;2;;;2;;
batte;2;;;2;;
riguardai;2;;;2;;
sponda;2;;;2;;
cieca;2;;;2;;
sian;2;;;2;;
siam;2;;;2;;
riversa;2;;;2;;
avversi;2;;;2;;
passando;2;;;2;;
riviera;2;;;2;;
posto;2;;;2;;
trovammo;2;;;2;;
secondo»;2;;;2;;
burrato;2;;;2;;
vòlti;2;;;2;;
stanca;2;;;2;;
farinata;2;;;2;;
dimandare»;2;;;2;;
isnelle;2;;;2;;
angelica;2;;;2;;
lorda;2;;;2;;
argini;2;;;2;;
lordo;2;;;2;;
fuoro;2;;;2;;
cruccia;2;;;2;;
vanto;2;;;2;;
saper;2;;;2;;
onda;2;;;2;;
randa;2;;;2;;
beatrice;2;;;2;;
cammilla;2;;;2;;
ferute;2;;;2;;
guido;2;;;2;;
eletto;2;;;2;;
seconda;2;;;2;;
verrò;2;;;2;;
vince;2;;;2;;
divenimmo;2;;;2;;
bianco;2;;;2;;
arte»;2;;;2;;
guida;2;;;2;;
livida;2;;;2;;
«deh;2;;;2;;
fiacca;2;;;2;;
arche;2;;;2;;
vieta;2;;;2;;
fitto;2;;;2;;
morti»;2;;;2;;
parla;2;;;2;;
versi;2;;;2;;
dicesti;2;;;2;;
scesa;2;;;2;;
caccerà;2;;;2;;
canti;2;;;2;;
vieni;2;;;2;;
fenestra;1;;;1;;
guardi;1;;;1;;
guardo;1;;;1;;
«saper;1;;;1;;
scïenzïa;1;;;1;;
sconoscente;1;;;1;;
troia;1;;;1;;
facëa;1;;;1;;
colchi;1;;;1;;
hai»;1;;;1;;
rifondarno;1;;;1;;
corna;1;;;1;;
macigno;1;;;1;;
lega;1;;;1;;
facevano;1;;;1;;
avvolte;1;;;1;;
lasciavam;1;;;1;;
novità;1;;;1;;
volontier;1;;;1;;
ampiezza;1;;;1;;
padrone;1;;;1;;
fruttare;1;;;1;;
flegra;1;;;1;;
risponde;1;;;1;;
mostrar;1;;;1;;
risponda;1;;;1;;
grotta;1;;;1;;
guardar;1;;;1;;
tempie;1;;;1;;
tedeschi;1;;;1;;
foracchiato;1;;;1;;
concedi;1;;;1;;
cavalieri;1;;;1;;
concede;1;;;1;;
infiniti;1;;;1;;
soffiò;1;;;1;;
cen;1;;;1;;
conceda;1;;;1;;
gole;1;;;1;;
sepolto;1;;;1;;
pier;1;;;1;;
ficcaï;1;;;1;;
ampia;1;;;1;;
scerpi;1;;;1;;
guardai;1;;;1;;
ampio;1;;;1;;
soluto»;1;;;1;;
passare;1;;;1;;
te»;1;;;1;;
consorti;1;;;1;;
doccia;1;;;1;;
torti»;1;;;1;;
volsimi;1;;;1;;
sepulture;1;;;1;;
avara;1;;;1;;
recherà;1;;;1;;
fatto»;1;;;1;;
sali;1;;;1;;
«avante;1;;;1;;
avermi;1;;;1;;
omero;1;;;1;;
guardò;1;;;1;;
scerna;1;;;1;;
sommersi;1;;;1;;
cozzi;1;;;1;;
patrïarca;1;;;1;;
sommersa;1;;;1;;
comprender;1;;;1;;
acheronte;1;;;1;;
salutevol;1;;;1;;
dottrina;1;;;1;;
dilettoso;1;;;1;;
ribelli;1;;;1;;
check;1;;;1;;
fredda;1;;;1;;
conio»;1;;;1;;
cangiar;1;;;1;;
sòle;1;;;1;;
corniglia;1;;;1;;
freddo;1;;;1;;
nvolti;1;;;1;;
tirannia;1;;;1;;
podestate;1;;;1;;
idre;1;;;1;;
ricenti;1;;;1;;
attento;1;;;1;;
largisse;1;;;1;;
discernessi;1;;;1;;
stizzo;1;;;1;;
termini;1;;;1;;
tristano»;1;;;1;;
contraria;1;;;1;;
cozzo;1;;;1;;
sommerso;1;;;1;;
omeri;1;;;1;;
stimolati;1;;;1;;
cocito;1;;;1;;
faccian;1;;;1;;
tarquino;1;;;1;;
saladino;1;;;1;;
gravida;1;;;1;;
soperchio»;1;;;1;;
danni»;1;;;1;;
venirvi;1;;;1;;
presta;1;;;1;;
sposa;1;;;1;;
tremando;1;;;1;;
piomba;1;;;1;;
spose;1;;;1;;
cacciò;1;;;1;;
«riconoscimi;1;;;1;;
aldobrandi;1;;;1;;
moïsè;1;;;1;;
suona»;1;;;1;;
giacean;1;;;1;;
sciaurati;1;;;1;;
reverenza;1;;;1;;
scanno;1;;;1;;
famoso;1;;;1;;
caggia;1;;;1;;
campion;1;;;1;;
gora;1;;;1;;
langue;1;;;1;;
fesse;1;;;1;;
moglie;1;;;1;;
fedeli;1;;;1;;
bramosa;1;;;1;;
fedele;1;;;1;;
consunto»;1;;;1;;
fuggirsi;1;;;1;;
successor;1;;;1;;
xxxiii;1;;;1;;
scipa;1;;;1;;
ospizio;1;;;1;;
infiammar;1;;;1;;
visitando;1;;;1;;
adagia;1;;;1;;
quinc;1;;;1;;
risonar;1;;;1;;
have;1;;;1;;
«guai;1;;;1;;
andi;1;;;1;;
poeti;1;;;1;;
rimembra;1;;;1;;
gota;1;;;1;;
anca;1;;;1;;
gote;1;;;1;;
guizzante;1;;;1;;
rimembri;1;;;1;;
partirsi;1;;;1;;
aperta»;1;;;1;;
ponticelli;1;;;1;;
stanche;1;;;1;;
guazzo;1;;;1;;
toglie;1;;;1;;
sacco;1;;;1;;
apporta;1;;;1;;
avrà;1;;;1;;
parlarmi;1;;;1;;
buccia;1;;;1;;
lai;1;;;1;;
abbracce;1;;;1;;
sollo;1;;;1;;
rimagno;1;;;1;;
costantin;1;;;1;;
schiena;1;;;1;;
bragia;1;;;1;;
avieno;1;;;1;;
spiccia;1;;;1;;
dicono;1;;;1;;
eurialo;1;;;1;;
averien;1;;;1;;
aletto;1;;;1;;
savi;1;;;1;;
lesa;1;;;1;;
arnie;1;;;1;;
salito;1;;;1;;
scalpitar;1;;;1;;
drudo;1;;;1;;
dimandò;1;;;1;;
abbatte;1;;;1;;
spiace;1;;;1;;
fui”;1;;;1;;
andò;1;;;1;;
poterebbe;1;;;1;;
peltro;1;;;1;;
«ritorna;1;;;1;;
primaio;1;;;1;;
giacëa;1;;;1;;
filippo;1;;;1;;
penitenza;1;;;1;;
alpestro;1;;;1;;
raccesa;1;;;1;;
costrutto;1;;;1;;
perduto»;1;;;1;;
primaia;1;;;1;;
intrata;1;;;1;;
saliva;1;;;1;;
«bene;1;;;1;;
intrate;1;;;1;;
veramente;1;;;1;;
offerse;1;;;1;;
stende;1;;;1;;
dolve;1;;;1;;
verranno»;1;;;1;;
tui;1;;;1;;
latra;1;;;1;;
similmente;1;;;1;;
fuia;1;;;1;;
marchese;1;;;1;;
piantato;1;;;1;;
ascoltai;1;;;1;;
rispuoser;1;;;1;;
opposito;1;;;1;;
tremar;1;;;1;;
esperïenza;1;;;1;;
scogli;1;;;1;;
tebe;1;;;1;;
fallia;1;;;1;;
starà;1;;;1;;
platone;1;;;1;;
nobilitate;1;;;1;;
biondo;1;;;1;;
abbracciar;1;;;1;;
riconoscere;1;;;1;;
rimbomba»;1;;;1;;
radici;1;;;1;;
reverente;1;;;1;;
ghirlanda;1;;;1;;
stingueva;1;;;1;;
radice;1;;;1;;
piango»;1;;;1;;
comandò;1;;;1;;
rinova;1;;;1;;
oramai;1;;;1;;
giovanni;1;;;1;;
presa;1;;;1;;
mercé;1;;;1;;
rimessa;1;;;1;;
contasto;1;;;1;;
ipocràte;1;;;1;;
offerto;1;;;1;;
scovra»;1;;;1;;
ripensando;1;;;1;;
traemmoci;1;;;1;;
conoscitor;1;;;1;;
anno;1;;;1;;
ngegni;1;;;1;;
meschite;1;;;1;;
ngegno;1;;;1;;
rivolve;1;;;1;;
selvaggio;1;;;1;;
stecchi;1;;;1;;
megera;1;;;1;;
deïtade;1;;;1;;
lussuria;1;;;1;;
marzïa;1;;;1;;
qui»;1;;;1;;
stabilita;1;;;1;;
apparecchiava;1;;;1;;
fiamminghi;1;;;1;;
ergea;1;;;1;;
dimandi;1;;;1;;
rimarrai;1;;;1;;
tòsco;1;;;1;;
recarne;1;;;1;;
sùbiti;1;;;1;;
away;1;;;1;;
menato;1;;;1;;
immortale;1;;;1;;
rivolto;1;;;1;;
perduta;1;;;1;;
ruppemi;1;;;1;;
attendo;1;;;1;;
destino;1;;;1;;
abbandono;1;;;1;;
garra;1;;;1;;
perduto;1;;;1;;
nteser;1;;;1;;
start;1;;;1;;
umano;1;;;1;;
perduti;1;;;1;;
macolato;1;;;1;;
rivolsi;1;;;1;;
nebbia;1;;;1;;
repleta;1;;;1;;
studio;1;;;1;;
piova»;1;;;1;;
aspetta;1;;;1;;
satiro;1;;;1;;
enëa;1;;;1;;
elena;1;;;1;;
intrò;1;;;1;;
salvazione;1;;;1;;
augel;1;;;1;;
folgore;1;;;1;;
uscisse;1;;;1;;
caina;1;;;1;;
costinci;1;;;1;;
aperto»;1;;;1;;
dallato;1;;;1;;
baràtro;1;;;1;;
provide;1;;;1;;
sartor;1;;;1;;
ahimè;1;;;1;;
continüo;1;;;1;;
saper»;1;;;1;;
cessar;1;;;1;;
falcon;1;;;1;;
guizzando;1;;;1;;
bige;1;;;1;;
angeli;1;;;1;;
consuma;1;;;1;;
grasso;1;;;1;;
‘e;1;;;1;;
raccoglie;1;;;1;;
abbandonò;1;;;1;;
darebbe;1;;;1;;
ubidisti;1;;;1;;
furor;1;;;1;;
dritte;1;;;1;;
manto;1;;;1;;
dritta;1;;;1;;
fiesole;1;;;1;;
menare;1;;;1;;
paulo;1;;;1;;
sasso;1;;;1;;
dibattero;1;;;1;;
avaro;1;;;1;;
medusa;1;;;1;;
ragioniam;1;;;1;;
tronchi;1;;;1;;
ricoperse;1;;;1;;
caòsso;1;;;1;;
pòne;1;;;1;;
arrivammo;1;;;1;;
caninamente;1;;;1;;
piangon;1;;;1;;
pape;1;;;1;;
papa;1;;;1;;
tele;1;;;1;;
andati»;1;;;1;;
peccaro;1;;;1;;
papi;1;;;1;;
spazzo;1;;;1;;
attristiam;1;;;1;;
dono;1;;;1;;
dispoglia;1;;;1;;
summo;1;;;1;;
oltracotanza;1;;;1;;
letame;1;;;1;;
pinser;1;;;1;;
erra;1;;;1;;
cantai;1;;;1;;
montagna;1;;;1;;
uccide;1;;;1;;
chinando;1;;;1;;
erto;1;;;1;;
igualmente;1;;;1;;
letane;1;;;1;;
“i;1;;;1;;
corte;1;;;1;;
subitamente;1;;;1;;
peccato;1;;;1;;
strozza;1;;;1;;
gerïone;1;;;1;;
tene;1;;;1;;
temp;1;;;1;;
stagliata;1;;;1;;
dandole;1;;;1;;
avicenna;1;;;1;;
fuggendo;1;;;1;;
peccata;1;;;1;;
corsa;1;;;1;;
meschine;1;;;1;;
cupidigia;1;;;1;;
nella;1;;;1;;
mézzo;1;;;1;;
merto;1;;;1;;
corse;1;;;1;;
dee;1;;;1;;
succia;1;;;1;;
affannata;1;;;1;;
dei;1;;;1;;
«voi;1;;;1;;
campar;1;;;1;;
zucca;1;;;1;;
preco;1;;;1;;
moviensi;1;;;1;;
dote;1;;;1;;
affannate;1;;;1;;
spezïal;1;;;1;;
capre;1;;;1;;
prun;1;;;1;;
compiange;1;;;1;;
caldi»;1;;;1;;
«vedrai;1;;;1;;
congiurato;1;;;1;;
ladron;1;;;1;;
ferze;1;;;1;;
ferza;1;;;1;;
suggel;1;;;1;;
dismisura;1;;;1;;
”»;1;;;1;;
rovinava;1;;;1;;
preda;1;;;1;;
rotture;1;;;1;;
simonia;1;;;1;;
direi;1;;;1;;
abèl;1;;;1;;
ardori;1;;;1;;
volete;1;;;1;;
tesa;1;;;1;;
dipartille;1;;;1;;
fioretti;1;;;1;;
accora»;1;;;1;;
monta;1;;;1;;
dipartilla;1;;;1;;
patre;1;;;1;;
celai;1;;;1;;
crucciasse;1;;;1;;
mpedimento;1;;;1;;
sortille»;1;;;1;;
ardore;1;;;1;;
sommesse;1;;;1;;
celar;1;;;1;;
appesi;1;;;1;;
cerchiato;1;;;1;;
«vien;1;;;1;;
insin;1;;;1;;
aduni;1;;;1;;
seguace;1;;;1;;
cansar;1;;;1;;
fiero;1;;;1;;
fiammette;1;;;1;;
antiche;1;;;1;;
under;1;;;1;;
fisica;1;;;1;;
sconcia;1;;;1;;
parte»;1;;;1;;
ripigneva;1;;;1;;
lasciai;1;;;1;;
sconcio;1;;;1;;
grossi;1;;;1;;
pregi;1;;;1;;
aspra;1;;;1;;
nudo;1;;;1;;
dicevan;1;;;1;;
test;1;;;1;;
virtude;1;;;1;;
umile;1;;;1;;
girone»;1;;;1;;
seguimi;1;;;1;;
monti;1;;;1;;
tornand;1;;;1;;
nuda;1;;;1;;
aspro;1;;;1;;
colombe;1;;;1;;
crine;1;;;1;;
aspri;1;;;1;;
intoppa;1;;;1;;
aspre;1;;;1;;
essamina;1;;;1;;
misi;1;;;1;;
nsieme;1;;;1;;
hanno”;1;;;1;;
raccapriccia;1;;;1;;
tornare;1;;;1;;
title;1;;;1;;
adorar;1;;;1;;
tomi»;1;;;1;;
sicurtà;1;;;1;;
«nessun;1;;;1;;
rivederà;1;;;1;;
piacer;1;;;1;;
girammo;1;;;1;;
passeggiati;1;;;1;;
partia;1;;;1;;
ncontra;1;;;1;;
prega;1;;;1;;
aggiunto;1;;;1;;
vïolenta;1;;;1;;
asticciuole;1;;;1;;
campare;1;;;1;;
timido;1;;;1;;
vïolenti;1;;;1;;
diè;1;;;1;;
grama;1;;;1;;
calcagni;1;;;1;;
seno»;1;;;1;;
grame;1;;;1;;
«questi;1;;;1;;
fante;1;;;1;;
credea;1;;;1;;
zenone;1;;;1;;
tacerci;1;;;1;;
aggroppata;1;;;1;;
elli»;1;;;1;;
annegava;1;;;1;;
creder;1;;;1;;
volvi»;1;;;1;;
vïolenza;1;;;1;;
contenta;1;;;1;;
perdei;1;;;1;;
allette;1;;;1;;
siamo;1;;;1;;
prema;1;;;1;;
scritte;1;;;1;;
tornaro;1;;;1;;
alzate;1;;;1;;
contents;1;;;1;;
fermò;1;;;1;;
verrem;1;;;1;;
contento;1;;;1;;
trarrotti;1;;;1;;
falsità;1;;;1;;
greggia;1;;;1;;
lucano;1;;;1;;
mando;1;;;1;;
bando;1;;;1;;
sente;1;;;1;;
commise;1;;;1;;
feci;1;;;1;;
negra”;1;;;1;;
rotando;1;;;1;;
mago;1;;;1;;
feda;1;;;1;;
adeschi;1;;;1;;
testimonio;1;;;1;;
masnada;1;;;1;;
chiamando;1;;;1;;
banda;1;;;1;;
smarrita;1;;;1;;
ritrar;1;;;1;;
may;1;;;1;;
manco;1;;;1;;
credesse;1;;;1;;
fiammella;1;;;1;;
loda;1;;;1;;
tornato;1;;;1;;
sciocche;1;;;1;;
fiammelle;1;;;1;;
lode;1;;;1;;
aiutate;1;;;1;;
bisogno;1;;;1;;
vidine;1;;;1;;
chiudessi;1;;;1;;
usa;1;;;1;;
opera;1;;;1;;
delira»;1;;;1;;
cuna;1;;;1;;
difetti;1;;;1;;
senni;1;;;1;;
gridavan;1;;;1;;
compianto;1;;;1;;
inno;1;;;1;;
cascherò;1;;;1;;
gette;1;;;1;;
fiorentino;1;;;1;;
libro;1;;;1;;
quantunque;1;;;1;;
esca;1;;;1;;
utf;1;;;1;;
ferme;1;;;1;;
furïosa;1;;;1;;
sodisfammi;1;;;1;;
volsersi;1;;;1;;
incese;1;;;1;;
ntelletti;1;;;1;;
basciato;1;;;1;;
infiammò;1;;;1;;
parton;1;;;1;;
divorarlo;1;;;1;;
corresse;1;;;1;;
leggera;1;;;1;;
fiede;1;;;1;;
solien;1;;;1;;
vecchie;1;;;1;;
risponder;1;;;1;;
agogna;1;;;1;;
alletta;1;;;1;;
curro;1;;;1;;
ricorse;1;;;1;;
included;1;;;1;;
ritrovai;1;;;1;;
menarvi;1;;;1;;
surger;1;;;1;;
quinto;1;;;1;;
ovidio;1;;;1;;
animi;1;;;1;;
saltella;1;;;1;;
bontà;1;;;1;;
trasseci;1;;;1;;
merda;1;;;1;;
cuor;1;;;1;;
soletto;1;;;1;;
talvolta;1;;;1;;
curi;1;;;1;;
rompieno;1;;;1;;
battuti;1;;;1;;
dipuose;1;;;1;;
spensi;1;;;1;;
tremavano;1;;;1;;
cura;1;;;1;;
dirsi;1;;;1;;
character;1;;;1;;
soletta;1;;;1;;
dispetta»;1;;;1;;
rossore;1;;;1;;
me»;1;;;1;;
escotendo;1;;;1;;
august;1;;;1;;
spenta;1;;;1;;
empie;1;;;1;;
ministra;1;;;1;;
empio;1;;;1;;
carentana;1;;;1;;
assalto»;1;;;1;;
essercito;1;;;1;;
animal;1;;;1;;
lavarsi;1;;;1;;
‘al;1;;;1;;
animai;1;;;1;;
accorta;1;;;1;;
muoion;1;;;1;;
affisse;1;;;1;;
accorte;1;;;1;;
accorti;1;;;1;;
insegnavate;1;;;1;;
xxxii;1;;;1;;
avrai;1;;;1;;
accorso;1;;;1;;
fele;1;;;1;;
rupper;1;;;1;;
caduto;1;;;1;;
lassi;1;;;1;;
«tosto;1;;;1;;
profani;1;;;1;;
berze;1;;;1;;
chinati;1;;;1;;
mugghia;1;;;1;;
«noi;1;;;1;;
lassa;1;;;1;;
apennino;1;;;1;;
spiacenti;1;;;1;;
volvea;1;;;1;;
piatti;1;;;1;;
xxxiv;1;;;1;;
negate;1;;;1;;
stan;1;;;1;;
affissi;1;;;1;;
estremità;1;;;1;;
inveschi;1;;;1;;
mmonito;1;;;1;;
sostener;1;;;1;;
richeggio;1;;;1;;
vivemo;1;;;1;;
dismonta»;1;;;1;;
trasmutato;1;;;1;;
ricominciar;1;;;1;;
imperadrice;1;;;1;;
‘fa;1;;;1;;
rigiugnerò;1;;;1;;
uccello;1;;;1;;
converso;1;;;1;;
bestialitade;1;;;1;;
abraàm;1;;;1;;
nfiata;1;;;1;;
dienne;1;;;1;;
condussi;1;;;1;;
valore;1;;;1;;
tegno;1;;;1;;
condusse;1;;;1;;
piangean;1;;;1;;
scrisse;1;;;1;;
stretto;1;;;1;;
onora;1;;;1;;
uscito;1;;;1;;
stretta;1;;;1;;
uscite;1;;;1;;
recently;1;;;1;;
«francesca;1;;;1;;
beati;1;;;1;;
onori;1;;;1;;
discendemmo;1;;;1;;
mare;1;;;1;;
gorgoglian;1;;;1;;
beate;1;;;1;;
dentr;1;;;1;;
fera;1;;;1;;
converrà;1;;;1;;
usciva;1;;;1;;
piace»;1;;;1;;
