Id;Text;Size
470;domain;4
471;ambassadors;4
472;tale;4
473;legal;4
474;prince;4
475;custom;4
476;action;4
477;file;4
478;known;4
479;subject;4
480;above;4
481;herein;4
482;except;4
483;star;4
484;beard;4
485;every;4
486;whole;4
487;lose;4
488;toward;4
489;donations;4
490;seems;4
491;platform;4
492;public;4
493;command;4
494;fare;4
495;grief;4
496;gifts;4
497;wouldst;4
498;told;4
499;shape;4
500;forth;4
501;blessing;4
502;future;4
503;expense;4
504;dreams;4
505;wittenberg;4
506;through;4
507;longer;4
508;name;4
509;book;4
510;great;4
511;looks;4
512;kind;4
513;wit;4
514;enough;4
515;fie;4
516;grow;4
517;sea;4
518;freely;4
519;woe;4
520;sit;4
521;ha;4
522;break;4
523;falls;4
524;hecuba;4
525;perchance;4
526;brief;4
527;stood;4
528;horrible;4
529;morning;4
530;closes;4
531;express;4
532;passion;4
533;virtue;4
534;figure;4
535;ye;4
536;sight;4
537;natural;4
538;place;4
539;brain;4
540;help;4
541;plain;4
542;person;4
543;note;4
544;marriage;4
545;limited;4
546;fault;4
547;infinite;3
548;turn;3
549;characters;3
550;quiet;3
551;e;3
552;humbly;3
553;thank;3
554;ambition;3
555;circumstance;3
556;hart;3
557;motive;3
558;struck;3
559;per;3
560;birth;3
561;woman;3
562;instant;3
563;native;3
564;consequence;3
565;writ;3
566;suits;3
567;ambitious;3
568;lay;3
569;try;3
570;pity;3
571;liberty;3
572;drift;3
573;giving;3
574;found;3
575;distribute;3
576;tragedy;3
577;assume;3
578;full;3
579;anything;3
580;heavens;3
581;stars;3
582;tenders;3
583;happy;3
584;awhile;3
585;ways;3
586;touching;3
587;visage;3
588;keeps;3
589;jephthah;3
590;twice;3
591;glad;3
592;dost;3
593;attendants;3
594;dew;3
595;soft;3
596;soil;3
597;honourable;3
598;rouse;3
599;meet;3
600;die;3
601;sometimes;3
602;occasion;3
603;delights;3
604;pious;3
605;goodly;3
606;heavy;3
607;deliver;3
608;health;3
609;conscience;3
610;main;3
611;sort;3
612;twas;3
613;wicked;3
614;coming;3
615;mercy;3
616;sorrow;3
617;received;3
618;quality;3
619;funeral;3
620;impart;3
621;holds;3
622;open;3
623;beast;3
624;safety;3
625;refund;3
626;fall;3
627;soldier;3
628;nephew;3
629;ill;3
630;replacement;3
631;advice;3
632;bestow;3
633;winds;3
634;heartily;3
635;understanding;3
636;wherefore;3
637;fast;3
638;prithee;3
639;historical;3
640;post;3
641;gather;3
642;consent;3
643;soldiers;3
644;choose;3
645;sleeping;3
646;sorry;3
647;rich;3
648;francisco;3
649;shake;3
650;took;3
651;below;3
652;already;3
653;dumb;3
654;forms;3
655;thought;3
656;ring;3
657;gentle;3
658;shoulder;3
659;waves;3
660;warranties;3
661;another;3
662;devil;3
663;black;3
664;officer;3
665;either;3
666;statement;3
667;flesh;3
668;mobled;3
669;vile;3
670;morn;3
671;wrong;3
672;certain;3
673;fee;3
674;few;3
675;otherwise;3
676;affection;3
677;damned;3
678;joy;3
679;move;3
680;unfold;3
681;bad;3
682;offer;3
683;rank;3
684;addition;3
685;peace;3
686;fool;3
687;bed;3
688;beckons;3
689;france;3
690;en;3
691;piece;3
692;burst;3
693;thence;3
694;bid;3
695;ii;3
696;il;3
697;pobox;3
698;delight;3
699;draw;3
700;married;3
701;receiv;3
702;second;3
703;discretion;3
704;author;3
705;follows;3
706;lands;3
707;wholesome;3
708;twelve;3
709;lords;3
710;conditions;3
711;seek;3
712;tm;3
713;country;3
714;smiling;3
715;lies;3
716;dane;3
717;teach;3
718;reading;3
719;damn;3
720;nights;3
721;passing;3
722;children;3
723;dreadful;3
724;gods;3
725;course;3
726;copy;3
727;sits;3
728;sound;3
729;proud;3
730;files;3
731;ground;3
732;player;3
733;reads;3
734;wild;3
735;fifty;2
736;electronically;2
737;tragical;2
738;ten;2
739;audience;2
740;hang;2
741;vengeance;2
742;masters;2
743;c;2
744;faculties;2
745;p;2
746;r;2
747;readers;2
748;v;2
749;x;2
750;yours;2
751;sworn;2
752;faithful;2
753;claudius;2
754;laugh;2
755;tush;2
756;rome;2
757;making;2
758;fantasy;2
759;medium;2
760;methinks;2
761;wisdom;2
762;disclaimers;2
763;secrecy;2
764;twill;2
765;lend;2
766;hercules;2
767;loved;2
768;conceit;2
769;majestical;2
770;loving;2
771;bulk;2
772;cmu;2
773;hypertext;2
774;violence;2
775;gaming;2
776;produce;2
777;walks;2
778;mirth;2
779;lets;2
780;celestial;2
781;judgment;2
782;defective;2
783;west;2
784;quite;2
785;liability;2
786;hatch;2
787;pleasures;2
788;obligation;2
789;censure;2
790;vulgar;2
791;intended;2
792;land;2
793;working;2
794;chief;2
795;followed;2
796;pith;2
797;meeting;2
798;volt;2
799;dollars;2
800;moment;2
801;trillion;2
802;implied;2
803;desires;2
804;txt;2
805;polack;2
806;mistress;2
807;source;2
808;secure;2
809;blows;2
810;waxes;2
811;crimes;2
812;merit;2
813;whereof;2
814;sable;2
815;yea;2
816;wonted;2
817;anon;2
818;hours;2
819;paid;2
820;dishonour;2
821;short;2
822;buzz;2
823;offence;2
824;grows;2
825;wretch;2
826;philosophy;2
827;provide;2
828;methods;2
829;enterprise;2
830;computer;2
831;grown;2
832;merely;2
833;prov;2
834;fellow;2
835;choice;2
836;hid;2
837;quick;2
838;flames;2
839;shows;2
840;shown;2
841;affair;2
842;gross;2
843;pause;2
844;request;2
845;ease;2
846;majesties;2
847;point;2
848;tend;2
849;encounter;2
850;confession;2
851;demands;2
852;corse;2
853;dearest;2
854;sometime;2
855;crack;2
856;strict;2
857;apparition;2
858;going;2
859;pass;2
860;entreat;2
861;virtues;2
862;hot;2
863;term;2
864;march;2
865;stage;2
866;desert;2
867;dispatch;2
868;habit;2
869;bird;2
870;talk;2
871;reply;2
872;lunacy;2
873;scholar;2
874;hideous;2
875;feast;2
876;truant;2
877;rather;2
878;additional;2
879;ecstasy;2
880;length;2
881;home;2
882;baby;2
883;hope;2
884;tables;2
885;bend;2
886;lock;2
887;text;2
888;fools;2
889;letters;2
890;painted;2
891;beggars;2
892;forward;2
893;strike;2
894;ourself;2
895;ebook;2
896;warlike;2
897;fees;2
898;mail;2
899;smile;2
900;fine;2
901;lungs;2
902;cries;2
903;horridly;2
904;lordship;2
905;hears;2
906;messengers;2
907;present;2
908;troubles;2
909;breath;2
910;falling;2
911;thyself;2
912;danger;2
913;brow;2
914;doomsday;2
915;unless;2
916;thrift;2
917;middle;2
918;unnatural;2
919;weary;2
920;cannon;2
921;reputation;2
922;ice;2
923;visitation;2
924;melancholy;2
925;presentation;2
926;wont;2
927;thrice;2
928;fits;2
929;internet;2
930;allow;2
931;bitter;2
932;speed;2
933;admit;2
934;themselves;2
935;chaste;2
936;commend;2
937;base;2
938;fain;2
939;prick;2
940;imagination;2
941;doors;2
942;steel;2
943;steep;2
944;iii;2
945;secret;2
946;slave;2
947;sting;2
948;sends;2
949;stir;2
950;prepared;2
951;clearly;2
952;beautified;2
953;bosom;2
954;according;2
955;clouds;2
956;paper;2
957;grave;2
958;assistant;2
959;round;2
960;year;2
961;desperate;2
962;music;2
963;silence;2
964;orchard;2
965;aboard;2
966;beware;2
967;fate;2
968;throat;2
969;least;2
970;strumpet;2
971;eager;2
972;serpent;2
973;morrow;2
974;swift;2
975;prevent;2
976;scope;2
977;lines;2
978;vow;2
979;age;2
980;number;2
981;obedience;2
982;property;2
983;brave;2
984;judge;2
985;happily;2
986;fathers;2
987;city;2
988;crew;2
989;rights;2
990;tender;2
991;royal;2
992;new;2
993;shalt;2
994;mock;2
995;favour;2
996;weakness;2
997;dull;2
998;spirits;2
999;slow;2
1000;cried;2
1001;alternatively;2
1002;suppress;2
1003;armed;2
1004;countenance;2
1005;ass;2
1006;presently;2
1007;remains;2
1008;piteous;2
1009;dust;2
1010;sovereign;2
1011;seeming;2
1012;mole;2
1013;servants;2
1014;ignorance;2
1015;trumpet;2
1016;mourn;2
1017;edition;2
1018;perfume;2
1019;malicious;2
1020;ascii;2
1021;green;2
1022;incestuous;2
1023;complexion;2
1024;substance;2
1025;discourse;2
1026;jig;2
1027;catch;2
1028;double;2
1029;moon;2
1030;ladies;2
1031;liege;2
1032;direct;2
1033;champaign;2
1034;comical;2
1035;born;2
1036;rogue;2
1037;borne;2
1038;nearer;2
1039;indifferent;2
1040;solemn;2
1041;weigh;2
1042;along;2
1043;profit;2
1044;breach;2
1045;arrant;2
1046;extent;2
1047;bak;2
1048;fit;2
1049;fix;2
1050;ah;2
1051;former;2
1052;prove;2
1053;servant;2
1054;inward;2
1055;foot;2
1056;contain;2
1057;breathe;2
1058;actor;2
1059;fly;2
1060;fishmonger;2
1061;thunder;2
1062;observe;2
1063;armour;2
1064;needs;2
1065;party;2
1066;frame;2
1067;deep;2
1068;limbs;2
1069;deed;2
1070;perhaps;2
1071;sin;2
1072;over;2
1073;bound;2
1074;kept;2
1075;sick;2
1076;slaughter;2
1077;four;2
1078;warranty;2
1079;burns;2
1080;crown;2
1081;gave;2
1082;thinking;2
1083;sending;2
1084;table;2
1085;remembrance;2
1086;knew;2
1087;report;2
1088;sigh;2
1089;lo;2
1090;cursed;2
1091;prodigal;2
1092;levies;2
1093;angel;2
1094;high;2
1095;edge;2
1096;lust;2
1097;license;2
1098;seal;2
1099;box;2
1100;heraldry;2
1101;boy;2
1102;cousin;2
1103;whilst;2
1104;cunning;2
1105;encouraged;2
1106;scandal;2
1107;actors;2
1108;access;2
1109;heed;2
1110;hill;2
1111;joint;2
1112;entreaty;2
1113;valiant;2
1114;region;2
1115;throne;2
1116;cold;2
1117;pure;2
1118;willingly;2
1119;wi;2
1120;mortal;2
1121;wide;2
1122;software;2
1123;streets;2
1124;held;2
1125;beyond;2
1126;terms;2
1127;proof;2
1128;presence;2
1129;sirs;2
1130;method;2
1131;force;2
1132;north;2
1133;weak;2
1134;confess;2
1135;seeing;2
1136;dare;2
1137;rugged;2
1138;contrive;2
1139;lead;2
1140;puts;2
1141;self;2
1142;date;2
1143;canst;2
1144;officers;2
1145;creatures;2
1146;tax;2
1147;chances;2
1148;week;2
1149;cap;2
1150;cost;2
1151;distracted;2
1152;wilt;2
1153;assay;2
1154;dignity;2
1155;spoke;1
1156;idol;1
1157;resemble;1
1158;exclusions;1
1159;begins;1
1160;paragon;1
1161;nominally;1
1162;contributions;1
1163;protected;1
1164;afflict;1
1165;pick;1
1166;ersized;1
1167;sovereignty;1
1168;tel;1
1169;warrant;1
1170;devoutly;1
1171;conceal;1
1172;whatsoever;1
1173;blasts;1
1174;everlasting;1
1175;solid;1
1176;meats;1
1177;tyrannous;1
1178;possess;1
1179;competent;1
1180;neutral;1
1181;volunteers;1
1182;yourselves;1
1183;lion;1
1184;hearer;1
1185;marrow;1
1186;sere;1
1187;southerly;1
1188;replies;1
1189;left;1
1190;eleven;1
1191;wing;1
1192;tickle;1
1193;object;1
1194;airy;1
1195;carriage;1
1196;airs;1
1197;cliff;1
1198;vanquisher;1
1199;pronounc;1
1200;fates;1
1201;gold;1
1202;opposition;1
1203;currents;1
1204;dircompg;1
1205;stirring;1
1206;commission;1
1207;impasted;1
1208;policy;1
1209;licensed;1
1210;salt;1
1211;address;1
1212;sets;1
1213;borrower;1
1214;n;1
1215;plentiful;1
1216;hams;1
1217;wipe;1
1218;straight;1
1219;unimproved;1
1220;halt;1
1221;licenses;1
1222;lips;1
1223;sale;1
1224;throw;1
1225;speaks;1
1226;combined;1
1227;brevity;1
1228;faces;1
1229;singeth;1
