Id;Text;Size
476;entertainment;4
477;dread;4
478;gracious;4
479;gainst;4
480;aught;4
481;revenge;4
482;ears;4
483;domain;4
484;ambassadors;4
485;legal;4
486;prince;4
487;custom;4
488;known;4
489;subject;4
490;above;4
491;star;4
492;beard;4
493;whole;4
494;lose;4
495;toward;4
496;seems;4
497;platform;4
498;command;4
499;wouldst;4
500;told;4
501;shape;4
502;forth;4
503;dreams;4
504;wittenberg;4
505;great;4
506;looks;4
507;wit;4
508;fie;4
509;grow;4
510;freely;4
511;woe;4
512;ha;4
513;perchance;4
514;brief;4
515;closes;4
516;ye;4
517;brain;4
518;help;4
519;note;4
520;sister;4
521;wind;4
522;days;4
523;wish;4
524;treasure;4
525;pastoral;4
526;lady;4
527;hundred;4
528;almost;4
529;whether;4
530;beneath;4
531;gertrude;4
532;withal;4
533;yes;4
534;colour;4
535;shadow;4
536;vows;4
537;mean;4
538;neither;4
539;court;4
540;tale;4
541;action;4
542;file;4
543;herein;4
544;except;4
545;every;4
546;donations;4
547;public;4
548;fare;4
549;grief;4
550;gifts;4
551;blessing;4
552;future;4
553;expense;4
554;through;4
555;longer;4
556;name;4
557;book;4
558;kind;4
559;enough;4
560;sea;4
561;sit;4
562;break;4
563;falls;4
564;hecuba;4
565;stood;4
566;horrible;4
567;morning;4
568;express;4
569;passion;4
570;virtue;4
571;figure;4
572;sight;4
573;natural;4
574;place;4
575;plain;4
576;person;4
577;marriage;4
578;limited;4
579;fault;4
580;infinite;3
581;turn;3
582;characters;3
583;quiet;3
584;e;3
585;thank;3
586;hart;3
587;motive;3
588;struck;3
589;woman;3
590;ambitious;3
591;lay;3
592;try;3
593;pity;3
594;distribute;3
595;assume;3
596;full;3
597;stars;3
598;tenders;3
599;keeps;3
600;dost;3
601;dew;3
602;die;3
603;occasion;3
604;delights;3
605;goodly;3
606;main;3
607;twas;3
608;wicked;3
609;mercy;3
610;sorrow;3
611;received;3
612;quality;3
613;impart;3
614;holds;3
615;open;3
616;beast;3
617;soldier;3
618;heartily;3
619;understanding;3
620;historical;3
621;gather;3
622;sleeping;3
623;rich;3
624;francisco;3
625;shake;3
626;took;3
627;below;3
628;forms;3
629;ring;3
630;shoulder;3
631;waves;3
632;another;3
633;black;3
634;statement;3
635;wrong;3
636;certain;3
637;fee;3
638;few;3
639;otherwise;3
640;damned;3
641;unfold;3
642;rank;3
643;addition;3
644;peace;3
645;fool;3
646;en;3
647;piece;3
648;burst;3
649;thence;3
650;ii;3
651;il;3
652;delight;3
653;draw;3
654;receiv;3
655;second;3
656;author;3
657;follows;3
658;lands;3
659;wholesome;3
660;twelve;3
661;seek;3
662;tm;3
663;country;3
664;smiling;3
665;lies;3
666;dane;3
667;teach;3
668;reading;3
669;damn;3
670;course;3
671;copy;3
672;sound;3
673;proud;3
674;ground;3
675;wild;3
676;humbly;3
677;ambition;3
678;circumstance;3
679;per;3
680;birth;3
681;instant;3
682;native;3
683;consequence;3
684;writ;3
685;suits;3
686;liberty;3
687;drift;3
688;giving;3
689;found;3
690;tragedy;3
691;anything;3
692;heavens;3
693;happy;3
694;awhile;3
695;ways;3
696;touching;3
697;visage;3
698;jephthah;3
699;twice;3
700;glad;3
701;attendants;3
702;soft;3
703;soil;3
704;honourable;3
705;rouse;3
706;meet;3
707;sometimes;3
708;pious;3
709;heavy;3
710;deliver;3
711;health;3
712;conscience;3
713;sort;3
714;coming;3
715;funeral;3
716;safety;3
717;refund;3
718;fall;3
719;nephew;3
720;ill;3
721;replacement;3
722;advice;3
723;bestow;3
724;winds;3
725;wherefore;3
726;fast;3
727;prithee;3
728;post;3
729;consent;3
