Text;Size
offende;4
fronte;4
membra;4
letto;4
diverse;4
you;4
discese;4
greve;4
credo;4
nferno;4
fine;4
guai;4
spesso;4
sovr;4
dintorno;4
andare;4
ratto;4
martìri;4
cima;4
chirón;4
buono;4
fiume;4
quanti;4
sarei;4
etterna;4
tormento;4
conobbi;4
cagion;4
duol;4
eravamo;4
spirito;4
percosse;4
fïate;4
dura;4
sedea;4
luce;4
san;4
fuggir;4
disdegno;4
vada;4
detto;4
bel;4
riguardar;4
dolente;4
avesse;4
vinse;4
aura;4
simile;4
largo;4
posso;4
argine;4
sui;4
porti;4
nuova;4
guerra;4
”;3
vuolsi;3
corpi;3
u;3
caccia;3
roma;3
fioco;3
puose;3
dolci;3
corda;3
rote;3
schermo;3
minor;3
piangendo;3
sarò;3
oscura;3
state;3
pace;3
levò;3
margini;3
pria;3
attende;3
umani;3
dai;3
parean;3
corso;3
temo;3
saranno;3
avarizia;3
ferro;3
apparve;3
selvaggia;3
cadere;3
fermo;3
vecchio;3
animo;3
mie;3
star;3
project;3
nesso;3
beata;3
acquista;3
vai;3
branche;3
lingue;3
tomba;3
esti;3
stige;3
spirti;3
esso;3
esta;3
abisso;3
ascolta;3
bolgia;3
stelle;3
stella;3
facevan;3
chiavi;3
manifesto;3
sapïenza;3
labbia;3
verranno;3
profondo;3
pianta;3
pieno;3
suono;3
tinta;3
sospesi;3
alighieri;3
fai;3
fan;3
dice;3
alquanto;3
malvagia;3
conoscenza;3
ai;3
rende;3
bulicame;3
acciò;3
fora;3
pensai;3
presente;3
vero;3
it;3
terzo;3
nullo;3
dite;3
od;3
oh;3
aiuta;3
campagna;3
discerno;3
lì;3
favella;3
cotal;3
sa;3
pugna;3
cammin;3
so;3
«da;3
trova;3
dovea;3
this;3
cenno;3
talento;3
«il;3
«in;3
costì;3
«le;3
«lo;3
giorno;3
orribil;3
«oh;3
alcuno;3
nove;3
felice;3
ultimo;3
miseri;3
avere;3
pozzo;3
avete;3
gridava;3
voci;3
mentr;3
saprai;3
minòs;3
conforto;3
pietro;3
distese;3
muro;3
mura;3
fronde;3
unghie;3
colore;3
viltà;3
fatti;3
pelle;3
ardito;3
fatta;3
diserta;3
attese;3
pesa;3
doglia;3
«poeta;3
torre;3
può;3
sicuro;3
torna;3
strida;3
diversa;3
prime;3
meco;3
fenno;3
calle;3
antica;3
fier;3
passar;3
fida;3
bollor;3
danno;3
abbia;3
altrove;3
santo;3
lagrimar;3
maligno;3
bosco;3
infin;3
fossa;3
brunetto;3
pensando;3
fosti;3
caldo;3
vuole;3
regge;3
coscïenza;3
compunto;3
andava;3
grandi;3
costoro;3
regno;3
comincia;3
gambe;3
fame;3
morto;3
sospetto;3
grida;3
persone;3
superbo;3
farà;3
ruina;3
pasto;3
ivi;3
etterne;3
frode;3
levata;3
cade;3
trasse;3
cittadin;3
regi;3
voltando;3
nimica;3
duro;3
duri;3
fïata;3
cani;3
gentil;3
malizia;3
miseria;3
seder;3
alti;3
sozza;3
qualunque;3
angoscia;3
tenni;3
cotesti;3
destro;3
parti;3
vivi;3
chiuso;3
intrai;3
molti;3
cagione;3
sie;3
cherci;3
vano;3
vòlto;3
nuovo;3
sta;3
centauro;3
ovra;3
venìa;3
queta;3
femmine;3
figura;3
similemente;3
eravam;3
rabbia;2
corneto;2
ten;2
latino;2
distinto;2
pluto;2
gola;2
x;2
«mal;2
fianco;2
sparte;2
sani;2
lasciammo;2
uscisser;2
lena;2
piangea;2
ricominciò;2
tutt;2
ragion;2
credette;2
credetti;2
avanti;2
demonio;2
bramose;2
avria;2
vizio;2
presto;2
attila;2
tegnon;2
luogo;2
foglie;2
roggia;2
question;2
anco;2
stanchi;2
aspetta»;2
erba;2
spoglie;2
«quelli;2
avrei;2
passava;2
fossimo;2
oscuro;2
«volgiti;2
flegïàs;2
letè;2
bagna;2
invidia;2
vederai;2
carca;2
pietade;2
teco;2
dimanda;2
sùbito;2
abbandona;2
attendi;2
sentì;2
cesare;2
carco;2
***;2
dunque;2
difension;2
fecer;2
prender;2
corto;2
ingegno;2
centro;2
varco;2
disdegnoso;2
italia;2
«tutti;2
guardia;2
uscir;2
«via;2
pare;2
“o;2
corta;2
corti;2
xiii;2
erta;2
uscia;2
sapere;2
teme;2
volere;2
infernal;2
dosso;2
«omai;2
vïaggio»;2
cotale;2
cotali;2
davante;2
davanti;2
vedea;2
leone;2
lacca;2
stipa;2
tremò;2
grosso;2
grossa;2
alessandro;2
nude;2
nudi;2
states;2
mise;2
ncontro;2
mira;2
rachele;2
feggia;2
mio»;2
«questo;2
verace;2
palme;2
scritta;2
perder;2
senso;2
contenti;2
senta;2
senti;2
punta;2
punte;2
punti;2
manda;2
lodo;2
use;2
lunge;2
convene;2
glorïoso;2
ntelletto;2
esce;2
vecchia;2
mei;2
lagrimando;2
cupo;2
fiamma;2
gliel;2
schiere;2
mali;2
famiglia;2
mala;2
spento;2
lasse;2
negato;2
lasciando;2
accorri;2
accorse;2
dienno;2
dirne;2
verrai;2
«guarda;2
beato;2
van;2
richiamava;2
movemmo;2
essere;2
cigne;2
essi;2
punge;2
sofferto;2
rechi;2
peccator;2
figliuolo;2
vii;2
vicenda;2
spavento;2
sinistro;2
iacopo;2
farem;2
tesoro;2
nver;2
chiama;2
coperchio;2
zuffa;2
volve;2
maladetta;2
ell;2
maladetto;2
vedessi;2
magnanimo;2
strani;2
possente;2
dispetto;2
pinse;2
nfino;2
coperchi;2
tegghiaio;2
rimase;2
scoperto;2
supin;2
veggendo;2
rimane;2
sembiante;2
vergogna;2
cocca;2
splende;2
pianti;2
meglio;2
quarto;2
chiara;2
chiamò;2
barba;2
nero;2
suole;2
nere;2
suolo;2
volge;2
suoni;2
conoscer;2
trapassar;2
neve;2
solver;2
giri;2
venuto;2
venuti;2
farne;2
rado;2
colpe;2
colpo;2
nessuno;2
biasmo;2
popolo;2
metro;2
giva;2
volle;2
bontade;2
sovrano;2
borsa;2
nvidia;2
risposto;2
saetta;2
ebber;2
suol;2
fei;2
aperse;2
stette;2
donne;2
cotto;2
ignudi;2
«come;2
gridai;2
pàrtiti;2
superbia;2
ntorno;2
disfatto;2
condizion;2
perde;2
dicer;2
at;2
strinse;2
rami;2
scendemmo;2
cener;2
sommo;2
iasón;2
cespuglio;2
ragione;2
scheggia;2
er;2
volontieri;2
porti»;2
fiumicello;2
necessità;2
tieni;2
facean;2
rossa;2
lusinghe;2
caron;2
vere;2
divino;2
ii;2
vera;2
carne;2
iv;2
ix;2
ode;2
riceve;2
odo;2
giudicio;2
piede;2
lonza;2
salvo;2
ogn;2
onesto;2
compagnia;2
dimora;2
om;2
dito;2
degno;2
augusto;2
favelle;2
seco;2
dirò;2
arpie;2
belle;2
bello;2
cento;2
orme;2
süo;2
ve;2
dirotti;2
ventre;2
ruffian;2
portate;2
maggiori;2
xi;2
xv;2
xx;2
dimostra;2
ncendio;2
«io;2
costà;2
graffia;2
quant;2
segui;2
lasciò;2
semo;2
ragionato;2
dottore;2
messo;2
ponte;2
seme;2
amico;2
assale;2
located;2
udirai;2
altissimo;2
lascia;2
coro;2
